Link|Title|File Size
https://cloud.freemdict.com/index.php/s/pgKcDcbSDTCzXCs/download?path=%2FCHINESE%2FChi-Eng&files=Chinese-English%20Chemical%20Engineering%20Terms.7z|Chinese-English Chemical Engineering Terms|61 KB
https://cloud.freemdict.com/index.php/s/pgKcDcbSDTCzXCs/download?path=%2FCHINESE%2FChi-Eng&files=Chinese-English%20Chemical%20Terms.7z|Chinese-English Chemical Terms|263 KB
https://cloud.freemdict.com/index.php/s/pgKcDcbSDTCzXCs/download?path=%2FCHINESE%2FChi-Eng&files=Chinese-English%20Coal%20Science%20and%20Technology%20Terms.7z|Chinese-English Coal Science and Technology Terms|261 KB
https://cloud.freemdict.com/index.php/s/pgKcDcbSDTCzXCs/download?path=%2FCHINESE%2FChi-Eng&files=Chinese-English%20Computer%20Dictionary.7z|Chinese-English Computer Dictionary|5.5 MB
https://cloud.freemdict.com/index.php/s/pgKcDcbSDTCzXCs/download?path=%2FCHINESE%2FChi-Eng&files=Chinese-English%20Computer%20Nouns.7z|Chinese-English Computer Nouns|238 KB
https://cloud.freemdict.com/index.php/s/pgKcDcbSDTCzXCs/download?path=%2FCHINESE%2FChi-Eng&files=Chinese-English%20Dictionary%20(3rd%20ed.)%20(MDX).zip|Chinese-English Dictionary (3rd ed.) (MDX)|24.4 MB
https://cloud.freemdict.com/index.php/s/pgKcDcbSDTCzXCs/download?path=%2FCHINESE%2FChi-Eng&files=Chinese-English%20Dictionary%20(Ideographs).7z|Chinese-English Dictionary (Ideographs)|1.3 MB
https://cloud.freemdict.com/index.php/s/pgKcDcbSDTCzXCs/download?path=%2FCHINESE%2FChi-Eng&files=Chinese-English%20Dictionary%20(T)%20Traditional%20Chinese%20Version.7z|Chinese-English Dictionary (T) Traditional Chinese Version|254 KB
https://cloud.freemdict.com/index.php/s/pgKcDcbSDTCzXCs/download?path=%2FCHINESE%2FChi-Eng&files=Chinese-English%20Dictionary%20(Zh-En)%201.0.zip|Chinese-English Dictionary (Zh-En) 1.0|626 KB
https://cloud.freemdict.com/index.php/s/pgKcDcbSDTCzXCs/download?path=%2FCHINESE%2FChi-Eng&files=Chinese-English%20Dictionary%20for%20Accountants.7z|Chinese-English Dictionary for Accountants|1.5 MB
https://cloud.freemdict.com/index.php/s/pgKcDcbSDTCzXCs/download?path=%2FCHINESE%2FChi-Eng&files=Chinese-English%20Dictionary%20HanYing%20DaCidian%20-%20Sapomaro.7z|Chinese-English Dictionary HanYing DaCidian - Sapomaro|11.8 MB
https://cloud.freemdict.com/index.php/s/pgKcDcbSDTCzXCs/download?path=%2FCHINESE%2FChi-Eng&files=Chinese-English%20Dictionary%20of%20Chemistry.7z|Chinese-English Dictionary of Chemistry|5.6 MB
https://cloud.freemdict.com/index.php/s/pgKcDcbSDTCzXCs/download?path=%2FCHINESE%2FChi-Eng&files=Chinese-English%20Dictionary%20of%20Chinese%20Culture%20(MDX).7z|Chinese-English Dictionary of Chinese Culture (MDX)|1.7 MB
https://cloud.freemdict.com/index.php/s/pgKcDcbSDTCzXCs/download?path=%2FCHINESE%2FChi-Eng&files=Chinese-English%20Dictionary%20of%20Chinese%20Idioms%20and%20Phrases%20(MDX).7z|Chinese-English Dictionary of Chinese Idioms and Phrases (MDX)|2.4 MB
https://cloud.freemdict.com/index.php/s/pgKcDcbSDTCzXCs/download?path=%2FCHINESE%2FChi-Eng&files=Chinese-English%20Dictionary%20of%20Chinese%20Literature%20(MDX).7z|Chinese-English Dictionary of Chinese Literature (MDX)|1.7 MB
https://cloud.freemdict.com/index.php/s/pgKcDcbSDTCzXCs/download?path=%2FCHINESE%2FChi-Eng&files=Chinese-English%20Dictionary%20of%20Current%20and%20Foreign%20Affairs%20(MDX).7z|Chinese-English Dictionary of Current and Foreign Affairs (MDX)|4.4 MB
https://cloud.freemdict.com/index.php/s/pgKcDcbSDTCzXCs/download?path=%2FCHINESE%2FChi-Eng&files=Chinese-English%20Dictionary%20of%20Electric%20Power.7z|Chinese-English Dictionary of Electric Power|959 KB
https://cloud.freemdict.com/index.php/s/pgKcDcbSDTCzXCs/download?path=%2FCHINESE%2FChi-Eng&files=Chinese-English%20Dictionary%20of%20Farming%2C%20Animal%20Husbandry%20and%20Forestry.7z|Chinese-English Dictionary of Farming, Animal Husbandry and Forestry|4.8 MB
https://cloud.freemdict.com/index.php/s/pgKcDcbSDTCzXCs/download?path=%2FCHINESE%2FChi-Eng&files=Chinese-English%20Dictionary%20of%20Idioms%20with%20Examples.7z|Chinese-English Dictionary of Idioms with Examples|4.4 MB
https://cloud.freemdict.com/index.php/s/pgKcDcbSDTCzXCs/download?path=%2FCHINESE%2FChi-Eng&files=Chinese-English%20Dictionary%20of%20Medical%20New%20Words.7z|Chinese-English Dictionary of Medical New Words|120 KB
https://cloud.freemdict.com/index.php/s/pgKcDcbSDTCzXCs/download?path=%2FCHINESE%2FChi-Eng&files=Chinese-English%20Dictionary%20of%20Metallurgy.7z|Chinese-English Dictionary of Metallurgy|3.3 MB
https://cloud.freemdict.com/index.php/s/pgKcDcbSDTCzXCs/download?path=%2FCHINESE%2FChi-Eng&files=Chinese-English%20Dictionary%20of%20Modern%20Business.7z|Chinese-English Dictionary of Modern Business|2.6 MB
https://cloud.freemdict.com/index.php/s/pgKcDcbSDTCzXCs/download?path=%2FCHINESE%2FChi-Eng&files=Chinese-English%20Dictionary%20of%20Religious%20Terms.7z|Chinese-English Dictionary of Religious Terms|57 KB
https://cloud.freemdict.com/index.php/s/pgKcDcbSDTCzXCs/download?path=%2FCHINESE%2FChi-Eng&files=Chinese-English%20Dictionary%20of%20Traditional%20Chinese%20Medicine.7z|Chinese-English Dictionary of Traditional Chinese Medicine|1.5 MB
https://cloud.freemdict.com/index.php/s/pgKcDcbSDTCzXCs/download?path=%2FCHINESE%2FChi-Eng&files=Chinese-English%20Dictionary%20of%20Traditional%20Chinese%20Medicine%20(MDX).7z|Chinese-English Dictionary of Traditional Chinese Medicine (MDX)|1.4 MB
